iter	Passed	Remaining
0	1	1445
1	2	1310
2	3	1266
3	5	1269
4	7	1496
5	9	1584
6	10	1525
7	12	1494
8	13	1474
9	14	1448
10	15	1416
11	16	1397
12	18	1382
13	19	1366
14	20	1354
15	22	1356
16	23	1377
17	25	1364
18	26	1353
19	27	1356
20	28	1345
21	30	1339
22	31	1336
23	32	1333
24	34	1327
25	35	1331
26	37	1344
27	39	1365
28	40	1365
29	41	1354
30	43	1344
31	44	1334
32	45	1323
33	46	1317
34	47	1309
35	48	1298
36	49	1288
37	50	1280
38	51	1277
39	53	1288
40	55	1299
41	56	1300
42	57	1290
43	58	1280
44	60	1273
45	61	1266
46	62	1259
47	63	1253
48	64	1247
49	65	1239
50	66	1237
51	68	1245
52	69	1242
53	70	1237
54	71	1230
55	72	1224
56	73	1220
57	74	1215
58	75	1211
59	76	1205
60	77	1199
61	78	1194
62	79	1189
63	81	1196
64	83	1196
65	84	1193
66	85	1188
67	86	1183
68	87	1178
69	88	1172
70	89	1166
71	90	1163
72	91	1159
73	92	1155
74	93	1151
75	94	1147
76	95	1142
77	96	1141
78	98	1145
79	99	1145
80	100	1142
81	101	1140
82	102	1136
83	104	1135
84	105	1133
85	106	1129
86	107	1126
87	108	1124
88	109	1120
89	110	1119
90	112	1120
91	113	1124
92	115	1121
93	116	1118
94	117	1115
95	118	1114
96	119	1109
97	119	1103
98	120	1100
99	121	1097
100	123	1095
101	124	1093
102	125	1091
103	127	1098
104	128	1093
105	129	1090
106	130	1090
107	131	1087
108	132	1086
109	134	1085
110	135	1082
111	136	1080
112	137	1079
113	138	1077
114	139	1075
115	141	1077
116	143	1081
117	144	1079
118	145	1080
119	146	1077
120	148	1075
121	149	1073
122	150	1070
123	151	1067
124	152	1065
125	153	1062
126	154	1060
127	155	1058
128	156	1057
129	157	1057
130	159	1056
131	160	1054
132	161	1051
133	162	1048
134	163	1046
135	164	1045
136	165	1043
137	166	1040
138	167	1038
139	168	1035
140	169	1034
141	171	1033
142	172	1035
143	173	1034
144	174	1031
145	175	1027
146	176	1024
147	177	1022
148	178	1019
149	179	1017
150	180	1015
151	181	1013
152	182	1010
153	183	1008
154	184	1006
155	185	1005
156	187	1005
157	188	1006
158	189	1004
159	190	1002
160	191	1000
161	192	997
162	193	995
163	194	993
164	195	991
165	196	989
166	197	987
167	198	985
168	200	983
169	201	984
170	203	984
171	204	984
172	205	980
173	206	978
174	207	976
175	208	975
176	209	973
177	210	971
178	211	969
179	212	967
180	213	966
181	214	964
182	215	963
183	216	962
184	218	960
185	219	958
186	220	957
187	221	955
188	222	953
189	223	951
190	224	950
191	225	948
192	226	947
193	227	945
194	228	943
195	229	940
196	231	942
197	232	942
198	233	941
199	234	939
200	235	937
201	236	935
202	237	933
203	238	931
204	239	930
205	240	928
206	242	927
207	243	925
208	244	923
209	245	922
210	246	922
211	248	923
212	249	922
213	250	920
214	251	919
215	252	917
216	253	916
217	255	914
218	255	911
219	256	910
220	257	908
221	258	907
222	260	908
223	262	908
224	263	906
225	264	906
226	265	904
227	266	903
228	267	901
229	268	900
230	269	898
231	270	896
232	271	895
233	272	893
234	274	892
235	275	891
236	277	891
237	278	890
238	279	889
239	280	887
240	281	885
241	282	884
242	283	883
243	284	881
244	285	880
245	286	878
246	287	877
247	289	876
248	291	878
249	293	879
250	294	878
251	295	877
252	296	876
253	298	875
254	299	874
255	300	872
256	301	871
